run,type,slice,n,cos,nmse
uniform_motion_s1234_af_fr_shadow_a065,步长,h=28,100,0.3061,1.4296
uniform_motion_s1234_af_fr_shadow_a075,分区,ID,406,0.9033,0.1698
uniform_motion_s1234_af_fr_shadow_a075,分区,r/m-OOD,464,0.8009,0.4157
uniform_motion_s1234_af_fr_shadow_a075,分区,v-OOD,841,0.5784,0.6732
uniform_motion_s1234_af_fr_shadow_a075,分区,both-OOD,1189,0.6405,0.6614
uniform_motion_s1234_af_fr_shadow_a075,步长,h=1,100,0.9946,0.0128
uniform_motion_s1234_af_fr_shadow_a075,步长,h=2,100,0.9886,0.027
uniform_motion_s1234_af_fr_shadow_a075,步长,h=4,100,0.9761,0.0557
uniform_motion_s1234_af_fr_shadow_a075,步长,h=8,100,0.9372,0.146
uniform_motion_s1234_af_fr_shadow_a075,步长,h=16,100,0.6878,0.5779
uniform_motion_s1234_af_fr_shadow_a075,步长,h=28,100,0.3072,1.3726
uniform_motion_s1234_af_fr_shadow_a100,分区,ID,406,0.8264,0.3093
uniform_motion_s1234_af_fr_shadow_a100,分区,r/m-OOD,464,0.7046,0.7381
uniform_motion_s1234_af_fr_shadow_a100,分区,v-OOD,841,0.5781,0.6665
uniform_motion_s1234_af_fr_shadow_a100,分区,both-OOD,1189,0.5992,0.7286
uniform_motion_s1234_af_fr_shadow_a100,步长,h=1,100,0.9946,0.0128
uniform_motion_s1234_af_fr_shadow_a100,步长,h=2,100,0.9877,0.0293
uniform_motion_s1234_af_fr_shadow_a100,步长,h=4,100,0.9722,0.065
uniform_motion_s1234_af_fr_shadow_a100,步长,h=8,100,0.9193,0.1894
uniform_motion_s1234_af_fr_shadow_a100,步长,h=16,100,0.6358,0.7065
uniform_motion_s1234_af_fr_shadow_a100,步长,h=28,100,0.2317,1.5501
uniform_motion_s1234_af_fr_zs_a025,分区,ID,406,0.9116,0.1542
uniform_motion_s1234_af_fr_zs_a025,分区,r/m-OOD,464,0.8024,0.44
uniform_motion_s1234_af_fr_zs_a025,分区,v-OOD,841,0.5676,0.7401
uniform_motion_s1234_af_fr_zs_a025,分区,both-OOD,1189,0.6316,0.7346
uniform_motion_s1234_af_fr_zs_a025,步长,h=1,100,0.9945,0.0132
uniform_motion_s1234_af_fr_zs_a025,步长,h=2,100,0.9897,0.0243
uniform_motion_s1234_af_fr_zs_a025,步长,h=4,100,0.9786,0.0496
uniform_motion_s1234_af_fr_zs_a025,步长,h=8,100,0.9426,0.1352
