Flax classes are deprecated and will be removed in Diffusers v1.0.0. We recommend migrating to PyTorch classes or pinning your version of Diffusers.
Flax classes are deprecated and will be removed in Diffusers v1.0.0. We recommend migrating to PyTorch classes or pinning your version of Diffusers.
[load] DiT-XL from /home/qlib/.stable_worldmodel/dit_xl_2_256
An error occurred while trying to fetch /home/qlib/.stable_worldmodel/dit_xl_2_256: Error no file named diffusion_pytorch_model.safetensors found in directory /home/qlib/.stable_worldmodel/dit_xl_2_256.
Defaulting to unsafe serialization. Pass `allow_pickle=False` to raise an error instead.
An error occurred while trying to fetch /home/qlib/.stable_worldmodel/dit_xl_2_256: Error no file named diffusion_pytorch_model.safetensors found in directory /home/qlib/.stable_worldmodel/dit_xl_2_256.
Defaulting to unsafe serialization. Pass `allow_pickle=False` to raise an error instead.
  transformer has 28 blocks; applying LoRA to last 4
  LoRA params: 0.590 M trainable / 750.4 M total (0.079%)
  using 32000 training frames, 2000 steps / epoch
  ep 5 step 499/2000 (global 10500/16000) loss=0.4701 elapsed=2723s eta=1426s
  ep 5 step 549/2000 (global 10550/16000) loss=0.4401 elapsed=2735s eta=1413s
  ep 5 step 599/2000 (global 10600/16000) loss=0.7096 elapsed=2749s eta=1400s
  ep 5 step 649/2000 (global 10650/16000) loss=0.4814 elapsed=2761s eta=1387s
  ep 5 step 699/2000 (global 10700/16000) loss=0.4579 elapsed=2774s eta=1374s
  ep 5 step 749/2000 (global 10750/16000) loss=0.2974 elapsed=2787s eta=1361s
  ep 5 step 799/2000 (global 10800/16000) loss=0.5419 elapsed=2800s eta=1348s
  ep 5 step 849/2000 (global 10850/16000) loss=0.5470 elapsed=2814s eta=1335s
  ep 5 step 899/2000 (global 10900/16000) loss=0.5347 elapsed=2827s eta=1323s
  ep 5 step 949/2000 (global 10950/16000) loss=0.4656 elapsed=2840s eta=1310s
  ep 5 step 999/2000 (global 11000/16000) loss=0.4100 elapsed=2853s eta=1297s
  ep 5 step 1049/2000 (global 11050/16000) loss=0.5822 elapsed=2866s eta=1284s
  ep 5 step 1099/2000 (global 11100/16000) loss=0.4623 elapsed=2878s eta=1271s
  ep 5 step 1149/2000 (global 11150/16000) loss=0.4918 elapsed=2891s eta=1258s
  ep 5 step 1199/2000 (global 11200/16000) loss=0.4871 elapsed=2904s eta=1245s
  ep 5 step 1249/2000 (global 11250/16000) loss=0.3746 elapsed=2917s eta=1232s
  ep 5 step 1299/2000 (global 11300/16000) loss=0.5907 elapsed=2930s eta=1219s
  ep 5 step 1349/2000 (global 11350/16000) loss=0.4666 elapsed=2943s eta=1206s
  ep 5 step 1399/2000 (global 11400/16000) loss=0.4373 elapsed=2956s eta=1193s
  ep 5 step 1449/2000 (global 11450/16000) loss=0.4963 elapsed=2969s eta=1180s
  ep 5 step 1499/2000 (global 11500/16000) loss=0.6118 elapsed=2982s eta=1167s
  ep 5 step 1549/2000 (global 11550/16000) loss=0.5373 elapsed=2995s eta=1154s
  ep 5 step 1599/2000 (global 11600/16000) loss=0.4958 elapsed=3008s eta=1141s
  ep 5 step 1649/2000 (global 11650/16000) loss=0.4137 elapsed=3021s eta=1128s
  ep 5 step 1699/2000 (global 11700/16000) loss=0.6598 elapsed=3034s eta=1115s
  ep 5 step 1749/2000 (global 11750/16000) loss=0.3944 elapsed=3047s eta=1102s
